replaces_observation_id,canonical_account_id,fiscal_year,stage,amount_type,amount,source_document_id,source_page,citation
OBS-0680,ACC-NASA-CONSTRUCTION,2018,Enacted,supplemental,81300000,SRC-CRPT-115HRPT704,134,"P.L. 115-123, Division B (Further Additional Supplemental Appropriations for Disaster Relief Requirements Act, 2018), Title III, 132 Stat. 72: 'For an additional amount for ""Construction and Environmental Compliance and Restoration"" for repairs at National Aeronautics and Space Administration facilities damaged by hurricanes during 2017, $81,300,000' -- designated an emergency requirement. Also S.Rept. 115-275 p.161."
OBS-0796,ACC-NSF-RRA,2018,Enacted,supplemental,16300000,SRC-CRPT-115HRPT704,134,"P.L. 115-123, Division B, Title III, 132 Stat. 72: 'For an additional amount for ""Research and Related Activities"" ... to repair National Science Foundation radio observatory facilities damaged by hurricanes that occurred during 2017, $16,300,000' -- designated an emergency requirement. Also S.Rept. 115-275 p.161."
OBS-0788,ACC-NSF-RRA,2020,Enacted,supplemental,75000000,SRC-CRPT-116HRPT455,196,"P.L. 116-136 (CARES Act), Division B (Emergency Appropriations for Coronavirus Health Response and Agency Operations), Title III, 134 Stat. 514: 'For an additional amount for ""Research and Related Activities"", $75,000,000 ... to prevent, prepare for, and respond to coronavirus' -- designated an emergency requirement."
OBS-0664,ACC-NASA-CONSTRUCTION,2022,Enacted,supplemental,321400000,SRC-CRPT-117HRPT395,224,"P.L. 117-43, Division B (Disaster Relief Supplemental Appropriations Act, 2022), Title III, 135 Stat. 359: 'For an additional amount for ""Construction and Environmental Compliance and Restoration"" for repair at National Aeronautics and Space Administration facilities damaged by Hurricanes Zeta and Ida ..., $321,400,000'."
OBS-0860,ACC-NSF-MREFC,2022,Enacted,supplemental,25000000,SRC-CRPT-117HRPT395,224,"P.L. 117-43, Division B, Title III, 135 Stat. 359: 'For an additional amount for ""Major Research Equipment and Facilities Construction"" for necessary expenses related to the National Science Foundation Regional Class Research Vessel construction impacted by Hurricane Ida, $25,000,000'."
OBS-0660,ACC-NASA-CONSTRUCTION,2023,Enacted,supplemental,556400000,SRC-CRPT-118SRPT62,224,"P.L. 117-328, Division N (Disaster Relief Supplemental Appropriations Act, 2023), Title III, 136 Stat. 5205-5206: two appropriations to ""Construction and Environmental Compliance and Restoration"", $189,400,000 + $367,000,000 = $556,400,000 (the report prints the sum)."
OBS-0776,ACC-NSF-RRA,2023,Enacted,supplemental,820662000,SRC-CRPT-118SRPT62,224,"P.L. 117-328, Division N, Title III, 136 Stat. 5206: two appropriations to ""Research and Related Activities"", $2,500,000 + $818,162,000 = $820,662,000 (the report prints the sum)."
